"Month","New York Central Park","Sante Fe"
"1821-10",12.1,
"1821-11",6.3,
"1821-12",0.7,
"1822-01",-3.2,
"1822-02",-1.2,
"1822-03",5.7,
"1822-04",11.3,
"1822-05",17.4,
"1822-06",21.4,
"1822-07",25.8,
"1822-08",23.7,
"1822-09",21.6,
"1822-10",15.1,
"1822-11",9.1,
"1822-12",1.4,
"1823-01",-0.4,
"1823-02",-3.7,
"1823-03",2.4,
"1823-04",9.8,
"1823-05",14.9,
"1823-06",20.6,
"1823-07",23.9,
"1823-08",23,
"1823-09",17.8,
"1823-10",11,
"1823-11",3.4,
"1823-12",1.5,
"1824-01",1.8,
"1824-02",-0.4,
"1824-03",3.1,
"1824-04",9.9,
"1824-05",14.4,
"1824-06",20.2,
"1824-07",23.1,
"1824-08",21.3,
"1824-09",17.9,
"1824-10",12.8,
"1824-11",5.9,
"1824-12",3.6,
"1825-01",0.4,
"1825-02",0.3,
"1825-03",6.5,
"1825-04",10.8,
"1825-05",16.9,
"1825-06",23.7,
"1825-07",27.4,
"1825-08",23.3,
"1825-09",19.7,
"1825-10",13.9,
"1825-11",6.6,
"1825-12",-0.2,
"1826-01",-1.7,
"1826-02",-0.4,
"1826-03",3.2,
"1826-04",6.3,
"1826-05",18.3,
"1826-06",21,
"1826-07",24.4,
"1826-08",24.4,
"1826-09",20.4,
"1826-10",13.6,
"1826-11",6.5,
"1826-12",0.6,
"1827-01",-4.4,
"1827-02",0,
"1827-03",4.1,
"1827-04",11.2,
"1827-05",15.3,
"1827-06",20.3,
"1827-07",24.2,
"1827-08",23.5,
"1827-09",19.4,
"1827-10",13.3,
"1827-11",4.3,
"1827-12",0.7,
"1828-01",0.9,
"1828-02",5.2,
"1828-03",4.9,
"1828-04",7.4,
"1828-05",15.6,
"1828-06",22.4,
"1828-07",23.7,
"1828-08",24.7,
"1828-09",19.3,
"1828-10",11.9,
"1828-11",7.2,
"1828-12",3.7,
"1829-01",-2.8,
"1829-02",-3.7,
"1829-03",3.3,
"1829-04",11.3,
"1829-05",17.7,
"1829-06",21.7,
"1829-07",23.2,
"1829-08",23.9,
"1829-09",17.8,
"1829-10",12.7,
"1829-11",6.6,
"1829-12",5.2,
"1830-01",-0.2,
"1830-02",-0.1,
"1830-03",5,
"1830-04",11.6,
"1830-05",15.7,
"1830-06",21.3,
"1830-07",26,
"1830-08",25,
"1830-09",19.5,
"1830-10",14.8,
"1830-11",10.6,
"1830-12",2.8,
"1831-01",-3.5,
"1831-02",-3.2,
"1831-03",5.6,
"1831-04",10,
"1831-05",16.2,
"1831-06",23.4,
"1831-07",24.7,
"1831-08",24.7,
"1831-09",19.4,
"1831-10",13,
"1831-11",6.3,
"1831-12",-5.4,
"1832-01",-1.9,
"1832-02",0.2,
"1832-03",3.9,
"1832-04",9.1,
"1832-05",13.4,
"1832-06",19.5,
"1832-07",22.9,
"1832-08",22.9,
"1832-09",18.6,
"1832-10",12.3,
"1832-11",7.1,
"1832-12",2.4,
"1833-01",1.7,
"1833-02",-0.6,
"1833-03",2.2,
"1833-04",10.7,
"1833-05",15.9,
"1833-06",18.9,
"1833-07",23.7,
"1833-08",21.4,
"1833-09",18.2,
"1833-10",11.2,
"1833-11",5.3,
"1833-12",1.4,
"1834-01",-2.1,
"1834-02",2.9,
"1834-03",4.2,
"1834-04",9.2,
"1834-05",13.6,
"1834-06",19.3,
"1834-07",24.6,
"1834-08",22.1,
"1834-09",17.9,
"1834-10",10.9,
"1834-11",5,
"1834-12",-0.7,
"1835-01",-1.4,
"1835-02",-2.7,
"1835-03",2,
"1835-04",7.7,
"1835-05",14.7,
"1835-06",19.5,
"1835-07",22.5,
"1835-08",21,
"1835-09",15.9,
"1835-10",13.6,
"1835-11",6.6,
"1835-12",-2,
"1836-01",-2.3,
"1836-02",-5.8,
"1836-03",0.1,
"1836-04",6.8,
"1836-05",14.4,
"1836-06",16.8,
"1836-07",22.8,
"1836-08",19.9,
"1836-09",17.8,
"1836-10",7.7,
"1836-11",3.7,
"1836-12",-0.4,
"1837-01",-3.1,
