"Month","Drywhite","Red","Sparkling"
"1980-01",1954,464,1686
"1980-02",2302,675,1591
"1980-03",3054,703,2304
"1980-04",2414,887,1712
"1980-05",2226,1139,1471
"1980-06",2725,1077,1377
"1980-07",2589,1318,1966
"1980-08",3470,1260,2453
"1980-09",2400,1120,1984
"1980-10",3180,963,2596
"1980-11",4009,996,4087
"1980-12",3924,960,5179
"1981-01",2072,530,1530
"1981-02",2434,883,1523
"1981-03",2956,894,1633
"1981-04",2828,1045,1976
"1981-05",2687,1199,1170
"1981-06",2629,1287,1480
"1981-07",3150,1565,1781
"1981-08",4119,1577,2472
"1981-09",3030,1076,1981
"1981-10",3055,918,2273
"1981-11",3821,1008,3857
"1981-12",4001,1063,4551
"1982-01",2529,544,1510
"1982-02",2472,635,1329
"1982-03",3134,804,1518
"1982-04",2789,980,1790
"1982-05",2758,1018,1537
"1982-06",2993,1064,1449
"1982-07",3282,1404,1954
"1982-08",3437,1286,1897
"1982-09",2804,1104,1706
"1982-10",3076,999,2514
"1982-11",3782,996,3593
"1982-12",3889,1015,4524
"1983-01",2271,615,1609
"1983-02",2452,722,1638
"1983-03",3084,832,2030
"1983-04",2522,977,1375
"1983-05",2769,1270,1320
"1983-06",3438,1437,1245
"1983-07",2839,1520,1600
"1983-08",3746,1708,2298
"1983-09",2632,1151,2191
"1983-10",2851,934,2511
"1983-11",3871,1159,3440
"1983-12",3618,1209,4923
"1984-01",2389,699,1609
"1984-02",2344,830,1435
"1984-03",2678,996,2061
"1984-04",2492,1124,1789
"1984-05",2858,1458,1567
"1984-06",2246,1270,1404
"1984-07",2800,1753,1597
"1984-08",3869,2258,3159
"1984-09",3007,1208,1759
"1984-10",3023,1241,2504
"1984-11",3907,1265,4273
"1984-12",4209,1828,5274
"1985-01",2353,809,1771
"1985-02",2570,997,1682
"1985-03",2903,1164,1846
"1985-04",2910,1205,1589
"1985-05",3782,1538,1896
"1985-06",2759,1513,1379
"1985-07",2931,1378,1645
"1985-08",3641,2083,2512
"1985-09",2794,1357,1771
"1985-10",3070,1536,3727
"1985-11",3576,1526,4388
"1985-12",4106,1376,5434
"1986-01",2452,779,1606
"1986-02",2206,1005,1523
"1986-03",2488,1193,1577
"1986-04",2416,1522,1605
"1986-05",2534,1539,1765
"1986-06",2521,1546,1403
"1986-07",3093,2116,2584
"1986-08",3903,2326,3318
"1986-09",2907,1596,1562
"1986-10",3025,1356,2349
"1986-11",3812,1553,3987
"1986-12",4209,1613,5891
